field,group,dtype,description,model_usage
account_id,Account profile,object,Synthetic account identifier. Not used as a predictive feature.,Excluded
account_name,Account profile,object,Synthetic customer/account name. Excluded from model features.,Excluded
segment,Account profile,object,Synthetic customer segment.,Predictive feature
industry,Account profile,object,Synthetic customer industry.,Predictive feature
region,Account profile,object,Synthetic geographic region.,Predictive feature
customer_type,Account profile,object,"Synthetic account type: brand, in-house team, consultant, or agency.",Predictive feature
agency_flag,Account profile,int64,1 if the synthetic account is an agency-style account.,Predictive feature
multi_location_business_flag,Account profile,int64,1 if the synthetic account has multiple physical/local locations.,Predictive feature
tenure_months,Account profile,int64,Months since customer start date in the synthetic dataset.,Predictive feature
mrr,Account profile,float64,Synthetic monthly recurring revenue.,Predictive feature
arr,Account profile,float64,Synthetic annual recurring revenue.,Predictive feature
plan_family,Account profile,object,Main Semrush-like toolkit family for the account.,Predictive feature
plan_tier,Account profile,object,Synthetic plan/tier inspired by public Semrush product structure.,Predictive feature
subscription_type,Account profile,object,"Synthetic commercial type: monthly, annual, or custom contract.",Predictive feature
number_of_users,Account profile,int64,Number of users,Predictive feature
active_users_30d,Account profile,int64,Active users 30d,Predictive feature
seo_toolkit_active,Bundle adoption,int64,Seo toolkit active,Predictive feature
traffic_market_toolkit_active,Bundle adoption,int64,Traffic market toolkit active,Predictive feature
ai_visibility_active,Bundle adoption,int64,Ai visibility active,Predictive feature
local_toolkit_active,Bundle adoption,int64,Local toolkit active,Predictive feature
content_toolkit_active,Bundle adoption,int64,Content toolkit active,Predictive feature
app_center_usage_flag,Bundle adoption,int64,App center usage flag,Predictive feature
api_access_available,Bundle adoption,int64,Api access available,Predictive feature
api_access_used,Bundle adoption,int64,Api access used,Predictive feature
historical_data_available,Bundle adoption,int64,Historical data available,Predictive feature
historical_data_used,Bundle adoption,int64,Historical data used,Predictive feature
share_of_voice_available,Bundle adoption,int64,Share of voice available,Predictive feature
share_of_voice_used,Bundle adoption,int64,Share of voice used,Predictive feature
websites_monitored,SEO usage and limits,int64,Websites monitored,Predictive feature
websites_limit,SEO usage and limits,int64,Websites limit,Predictive feature
websites_usage_pct,SEO usage and limits,float64,Websites usage pct,Predictive feature
keywords_tracked,SEO usage and limits,int64,Keywords tracked,Predictive feature
keywords_limit,SEO usage and limits,int64,Keywords limit,Predictive feature
keyword_tracking_usage_pct,SEO usage and limits,float64,Keyword tracking usage pct,Predictive feature
pages_crawled_month,SEO usage and limits,int64,Pages crawled month,Predictive feature
pages_crawl_limit,SEO usage and limits,int64,Pages crawl limit,Predictive feature
crawl_budget_usage_pct,SEO usage and limits,float64,Crawl budget usage pct,Predictive feature
results_per_report_used,SEO usage and limits,int64,Results per report used,Predictive feature
results_per_report_limit,SEO usage and limits,int64,Results per report limit,Predictive feature
results_per_report_usage_pct,SEO usage and limits,float64,Results per report usage pct,Predictive feature
keyword_metric_updates_used,SEO usage and limits,int64,Keyword metric updates used,Predictive feature
keyword_metric_updates_limit,SEO usage and limits,int64,Keyword metric updates limit,Predictive feature
keyword_metric_updates_usage_pct,SEO usage and limits,float64,Keyword metric updates usage pct,Predictive feature
site_audit_projects_active,Tool-specific adoption,int64,Site audit projects active,Predictive feature
site_audit_last_run_days,Tool-specific adoption,int64,Site audit last run days,Predictive feature
site_audit_health_score_avg,Tool-specific adoption,float64,Site audit health score avg,Predictive feature
site_audit_blocking_issues_count,Tool-specific adoption,int64,Site audit blocking issues count,Predictive feature
position_tracking_campaigns_active,Tool-specific adoption,int64,Position tracking campaigns active,Predictive feature
